"","lei","derived_race","action_taken","loan_purpose","loan_amount","interest_rate","loan_to_value_ratio","loan_term","debt_to_income_ratio","denial_reason"
"1","549300G4JDIJPBEO8J84","White","Loan originated","Home Purchase",265000,7.5,80,360,"<20%","Not applicable"
"2","549300CG5TM73650DH84","White","Loan originated","Home Purchase",205000,9,80,360,"20%-<30%","Not applicable"
"3","2549008TT6UNYR7AXF54","White","Loan originated","Home Purchase",145000,6.99,95,360,"36%-41%","Not applicable"
"4","2549008TT6UNYR7AXF54","White","Application denied","Home Purchase",485000,NA,90,360,"42%-49%","Insufficient cash (downpayment, closing costs)"
"5","2549008TT6UNYR7AXF54","White","Loan originated","Home Purchase",215000,6.49,68.254,360,"42%-49%","Not applicable"
"6","549300X08QKYUH256I80","White","Application withdrawn by applicant","Home Purchase",665000,NA,NA,372,NA,"Not applicable"
"7","549300X08QKYUH256I80","White","Loan originated","Home Purchase",75000,6.625,95,360,"42%-49%","Not applicable"
"8","549300WO9TX4YEFAC338","White","Loan originated","Home Purchase",315000,NA,NA,360,"42%-49%","Not applicable"
"9","549300WO9TX4YEFAC338","White","Loan originated","Home Purchase",215000,NA,NA,360,"42%-49%","Not applicable"
"10","5493003JBN8UEVOU8O42","White","Loan originated","Home Purchase",145000,6.367,80,360,"<20%","Not applicable"
"11","5493003JBN8UEVOU8O42","Race Not Available","Purchased loan","Home Purchase",115000,9,NA,300,NA,"Not applicable"
"12","5493003JBN8UEVOU8O42","Race Not Available","Purchased loan","Home Purchase",135000,8,NA,300,NA,"Not applicable"
"13","5493003JBN8UEVOU8O42","Race Not Available","Purchased loan","Home Purchase",85000,8.25,NA,300,NA,"Not applicable"
"14","5493003JBN8UEVOU8O42","Race Not Available","Purchased loan","Home Purchase",95000,8.35,NA,300,NA,"Not applicable"
"15","254900VECGAWC5CPU773","White","Loan originated","Home Purchase",95000,5.75,79.17,120,"30%-<36%","Not applicable"
"16","254900VECGAWC5CPU773","White","Loan originated","Home Purchase",175000,6.25,80,180,"20%-<30%","Not applicable"
"17","254900ZKF687G440AJ92","White","Loan originated","Home Purchase",415000,7.125,88.254,360,"36%-41%","Not applicable"
"18","254900ZKF687G440AJ92","White","Loan originated","Home Purchase",295000,7.125,74.684,360,"30%-<36%","Not applicable"
"19","254900ZKF687G440AJ92","White","Loan originated","Home Purchase",225000,6.625,52.941,360,"30%-<36%","Not applicable"
"20","549300Z9PK8PPMKST414","Black or African American","Application denied","Home Purchase",165000,NA,NA,180,NA,"Multiple"
